epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,100.176,1.2556,0.69186,1.10948,0.67412,0.6879,0.69384,0.35874,1.67667,1.19307,1.28043,0.00132868,0.00132868,0.00132868
43,101.867,1.25218,0.67498,1.08578,0.6645,0.68337,0.68586,0.35984,1.65557,1.24808,1.26414,0.00132043,0.00132043,0.00132043
44,106.227,1.23078,0.65429,1.09148,0.64491,0.69025,0.68729,0.34839,1.73431,1.29727,1.28962,0.00131218,0.00131218,0.00131218
45,110.072,1.2777,0.68654,1.09373,0.66909,0.69139,0.70148,0.35431,1.75514,1.28875,1.29587,0.00130393,0.00130393,0.00130393
46,113.522,1.26753,0.67351,1.07495,0.69614,0.68439,0.7124,0.3686,1.70658,1.24124,1.27502,0.00129568,0.00129568,0.00129568
47,117.107,1.19441,0.63528,1.03873,0.72097,0.70634,0.73097,0.37509,1.73113,1.18132,1.29196,0.00128742,0.00128742,0.00128742
48,121.011,1.21132,0.6484,1.07567,0.73002,0.71905,0.74176,0.38195,1.73444,1.14489,1.28648,0.00127917,0.00127917,0.00127917
49,124.781,1.19792,0.632,1.06322,0.71499,0.71337,0.74844,0.39352,1.70998,1.10666,1.26848,0.00127092,0.00127092,0.00127092
50,128.316,1.17006,0.62014,1.05395,0.69533,0.68545,0.73371,0.38913,1.68369,1.14031,1.27164,0.00126267,0.00126267,0.00126267
51,131.988,1.19838,0.64252,1.04709,0.73187,0.67302,0.74183,0.38975,1.70933,1.11527,1.29468,0.00125442,0.00125442,0.00125442
52,135.913,1.1955,0.59601,1.04369,0.69225,0.71541,0.7322,0.38543,1.6808,1.14676,1.28333,0.00124617,0.00124617,0.00124617
53,139.756,1.20707,0.61229,1.04636,0.67246,0.72925,0.72436,0.37974,1.66199,1.20039,1.2719,0.00123791,0.00123791,0.00123791
54,141.932,1.19884,0.60492,1.03446,0.68183,0.70068,0.71569,0.37256,1.71331,1.23945,1.29696,0.00122966,0.00122966,0.00122966
55,143.547,1.20575,0.63366,1.04739,0.66665,0.67233,0.69913,0.36332,1.71933,1.22267,1.30424,0.00122141,0.00122141,0.00122141
56,145.26,1.20576,0.60717,1.03508,0.65119,0.6794,0.67824,0.35604,1.67847,1.23363,1.29255,0.00121316,0.00121316,0.00121316
57,146.956,1.22696,0.61068,1.04078,0.66025,0.68024,0.66785,0.35074,1.68336,1.25473,1.29486,0.00120491,0.00120491,0.00120491
58,148.616,1.23038,0.60707,1.08377,0.67639,0.64741,0.67397,0.35057,1.71665,1.23759,1.30677,0.00119666,0.00119666,0.00119666
59,150.3,1.19819,0.59604,1.04496,0.6957,0.6392,0.70047,0.36015,1.74574,1.1949,1.31447,0.0011884,0.0011884,0.0011884
60,151.965,1.20401,0.62159,1.06333,0.68474,0.69731,0.72077,0.38371,1.67857,1.14483,1.28091,0.00118015,0.00118015,0.00118015
61,153.667,1.1086,0.56319,1.01354,0.69683,0.70209,0.72791,0.38228,1.67983,1.12855,1.27827,0.0011719,0.0011719,0.0011719
62,155.304,1.10815,0.57249,1.05334,0.69217,0.67407,0.72257,0.36641,1.74484,1.16181,1.30732,0.00116365,0.00116365,0.00116365
63,156.991,1.18938,0.57604,1.02962,0.6447,0.69674,0.7165,0.36919,1.72961,1.1813,1.2897,0.0011554,0.0011554,0.0011554
