epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,387.803,0.78612,0.38761,0.91179,0.77269,0.71125,0.78203,0.42839,1.66697,1.0375,1.29636,0.000181703,0.000181703,0.000181703
182,389.52,0.77217,0.38882,0.89717,0.76589,0.71274,0.78323,0.43052,1.66124,1.04555,1.29008,0.000173451,0.000173451,0.000173451
183,392.143,0.77996,0.38955,0.89553,0.77424,0.70301,0.78216,0.43019,1.66458,1.0573,1.29101,0.0001652,0.0001652,0.0001652
184,395.34,0.77543,0.38049,0.90043,0.80625,0.67708,0.78232,0.42954,1.67043,1.06725,1.29477,0.000156948,0.000156948,0.000156948
185,397.617,0.79126,0.39816,0.90209,0.79904,0.68645,0.78189,0.43117,1.67049,1.06712,1.29602,0.000148696,0.000148696,0.000148696
186,399.771,0.80748,0.40032,0.89723,0.7674,0.71122,0.78195,0.43208,1.66777,1.06272,1.29571,0.000140445,0.000140445,0.000140445
187,401.746,0.77669,0.39717,0.90947,0.77454,0.71204,0.78122,0.43247,1.66315,1.05262,1.29484,0.000132193,0.000132193,0.000132193
188,403.414,0.79779,0.39663,0.90044,0.77602,0.70968,0.7814,0.4317,1.66217,1.04826,1.2964,0.000123941,0.000123941,0.000123941
189,405.061,0.76904,0.3794,0.8994,0.75014,0.73916,0.78333,0.43207,1.66192,1.04419,1.29615,0.00011569,0.00011569,0.00011569
190,406.771,0.73512,0.37481,0.89242,0.78041,0.71379,0.7853,0.43301,1.66214,1.03919,1.29749,0.000107438,0.000107438,0.000107438
191,434.554,0.77408,0.39011,0.90623,0.7746,0.71903,0.78385,0.42981,1.6687,1.03541,1.30418,9.91865e-05,9.91865e-05,9.91865e-05
192,436.22,0.7517,0.36895,0.90157,0.76107,0.72869,0.78194,0.42822,1.66957,1.03102,1.30737,9.09349e-05,9.09349e-05,9.09349e-05
193,437.831,0.76201,0.37029,0.90429,0.75431,0.72789,0.77826,0.42559,1.67067,1.02975,1.30951,8.26832e-05,8.26832e-05,8.26832e-05
194,439.432,0.75852,0.36876,0.89796,0.73134,0.74822,0.77507,0.42293,1.6707,1.03038,1.31179,7.44316e-05,7.44316e-05,7.44316e-05
195,441.026,0.72269,0.3559,0.88877,0.73199,0.7481,0.77664,0.42272,1.67,1.02531,1.31324,6.61799e-05,6.61799e-05,6.61799e-05
196,442.634,0.75476,0.36663,0.90939,0.74681,0.73621,0.77918,0.42238,1.67076,1.02339,1.31492,5.79283e-05,5.79283e-05,5.79283e-05
197,444.295,0.71774,0.35244,0.88897,0.7613,0.72461,0.77826,0.42224,1.67138,1.0215,1.31645,4.96766e-05,4.96766e-05,4.96766e-05
198,446.027,0.76143,0.36358,0.90818,0.76694,0.71897,0.77724,0.42179,1.67255,1.02395,1.31762,4.1425e-05,4.1425e-05,4.1425e-05
199,447.625,0.73154,0.34896,0.88746,0.76023,0.72219,0.77677,0.42133,1.67326,1.02458,1.31947,3.31733e-05,3.31733e-05,3.31733e-05
200,449.222,0.73409,0.35442,0.88569,0.74138,0.73737,0.77565,0.42126,1.67315,1.02873,1.32113,2.49217e-05,2.49217e-05,2.49217e-05
